day,acu_infected,active,infected,cured,dead,hospitalized,diagnosed,day
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0
11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
15.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0
16.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0
17.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,17.0
18.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0
19.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0
20.0,7.0,1.0,7.0,0.0,0.0,0.0,1.0,20.0
21.0,8.0,1.0,8.0,0.0,0.0,0.0,1.0,21.0
22.0,8.0,1.0,8.0,0.0,0.0,0.0,1.0,22.0
23.0,10.0,1.0,9.5,0.0,0.0,0.0,1.0,23.0
24.0,10.0,1.0,10.0,0.0,0.0,0.0,1.0,24.0
25.0,12.0,1.0,11.0,0.0,0.0,0.0,2.0,25.0
26.0,14.0,2.0,14.0,0.0,0.0,0.0,2.0,26.0
27.0,15.0,2.0,14.5,0.0,0.0,0.0,2.0,27.0
28.0,17.0,2.0,16.5,1.0,0.0,0.0,2.0,28.0
29.0,19.0,2.0,18.5,1.0,0.0,0.0,3.0,29.0
30.0,22.0,2.5,21.0,1.0,0.0,0.0,3.5,30.0
31.0,26.0,3.0,25.0,1.0,0.0,0.0,4.0,31.0
32.0,29.5,3.0,28.0,1.5,0.0,0.0,5.0,32.0
33.0,34.0,3.0,32.0,2.0,0.0,0.0,5.0,33.0
34.0,39.0,5.0,36.0,2.0,0.0,0.0,7.0,34.0
35.0,44.5,5.0,41.5,2.0,0.0,0.0,7.5,35.0
36.0,49.0,5.0,46.0,3.0,0.0,0.0,8.0,36.0
37.0,55.0,5.0,51.0,3.0,0.0,0.0,8.5,37.0
38.0,66.0,6.0,61.0,4.0,0.0,0.0,10.0,38.0
39.0,74.0,7.0,70.0,4.0,0.0,1.0,12.0,39.0
40.0,84.0,8.0,78.0,5.0,0.0,1.0,14.0,40.0
41.0,101.0,10.0,94.0,6.0,0.0,1.0,17.0,41.0
42.0,113.0,11.0,106.0,8.0,0.0,1.0,19.0,42.0
43.0,128.5,12.0,120.5,8.0,0.0,1.0,20.5,43.0
44.0,149.0,14.0,140.0,9.0,0.0,1.0,24.0,44.0
