day,acu_infected,active,infected,cured,dead,hospitalized,diagnosed,day
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0
11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0
13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
15.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0
16.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0
17.0,4.0,0.0,3.5,0.0,0.0,0.0,0.0,17.0
18.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0
19.0,5.0,0.0,4.5,0.0,0.0,0.0,0.0,19.0
20.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,20.0
21.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,21.0
22.0,9.0,0.0,8.0,0.0,0.0,0.0,1.0,22.0
23.0,9.0,1.0,9.0,0.0,0.0,0.0,1.0,23.0
24.0,11.0,1.0,11.0,0.0,0.0,0.0,1.0,24.0
25.0,12.0,1.0,12.0,0.0,0.0,0.0,1.0,25.0
26.0,15.0,2.0,14.5,0.0,0.0,0.0,2.0,26.0
27.0,17.0,2.0,17.0,0.0,0.0,0.0,2.0,27.0
28.0,18.0,2.0,18.0,1.0,0.0,0.0,3.0,28.0
29.0,21.0,2.0,20.0,1.0,0.0,0.0,3.0,29.0
30.0,23.0,3.0,22.0,1.0,0.0,0.0,4.0,30.0
31.0,26.0,3.0,25.0,1.0,0.0,0.0,4.0,31.0
32.0,31.0,3.0,30.5,1.0,0.0,0.0,5.0,32.0
33.0,35.5,4.0,34.0,1.5,0.0,0.0,6.0,33.0
34.0,40.5,5.0,39.0,2.0,0.0,0.0,7.0,34.0
35.0,47.0,5.0,45.0,2.0,0.0,0.0,8.0,35.0
36.0,52.0,6.0,48.0,2.0,0.0,1.0,8.0,36.0
37.0,60.0,6.0,57.0,3.0,0.0,1.0,9.0,37.0
38.0,70.0,7.0,67.0,4.0,0.0,1.0,11.0,38.0
39.0,81.5,8.5,76.0,4.5,0.0,1.0,13.0,39.0
40.0,94.0,9.0,88.0,5.0,0.0,1.0,14.0,40.0
41.0,105.0,11.0,99.5,6.0,0.0,1.0,17.0,41.0
42.0,118.5,12.0,114.0,7.0,0.0,1.0,20.0,42.0
43.0,138.0,15.0,131.0,8.0,0.0,1.0,23.0,43.0
44.0,160.5,17.5,151.0,9.0,0.0,1.0,26.0,44.0
