day,acu_infected,active,infected,cured,dead,hospitalized,diagnosed,day
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0
11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
12.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,12.0
13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
15.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,15.0
16.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0
17.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0
18.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0
19.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0
20.0,6.5,0.0,6.0,0.0,0.0,0.0,0.0,20.0
21.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,21.0
22.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,22.0
23.0,9.0,1.0,9.0,0.0,0.0,0.0,1.0,23.0
24.0,11.0,1.0,10.5,0.0,0.0,0.0,1.0,24.0
25.0,13.0,1.0,12.0,0.0,0.0,0.0,1.0,25.0
26.0,15.0,1.0,15.0,0.0,0.0,0.0,2.0,26.0
27.0,16.0,1.0,16.0,0.0,0.0,0.0,2.0,27.0
28.0,18.0,1.0,18.0,0.0,0.0,0.0,2.0,28.0
29.0,21.5,2.0,21.0,1.0,0.0,0.0,3.0,29.0
30.0,25.0,3.0,23.0,1.0,0.0,0.0,4.0,30.0
31.0,26.0,3.0,26.0,1.0,0.0,0.0,4.0,31.0
32.0,32.0,3.0,31.0,1.0,0.0,0.0,5.0,32.0
33.0,36.0,4.0,34.0,2.0,0.0,0.0,6.0,33.0
34.0,36.5,4.0,35.0,2.0,0.0,0.0,6.0,34.0
35.0,44.0,5.0,40.0,3.0,0.0,0.0,8.0,35.0
36.0,48.0,5.0,45.0,3.0,0.0,0.0,9.0,36.0
37.0,55.0,6.0,53.0,3.0,0.0,0.0,10.0,37.0
38.0,61.0,6.0,57.0,4.0,0.0,0.0,11.0,38.0
39.0,70.0,7.5,65.5,4.0,0.0,1.0,12.5,39.0
40.0,77.0,8.5,73.5,5.0,0.0,1.0,13.5,40.0
41.0,88.0,10.0,83.0,6.0,0.0,1.0,15.0,41.0
42.0,99.5,12.0,91.0,6.0,0.0,1.0,19.0,42.0
43.0,111.5,12.5,103.5,8.5,0.0,1.0,21.0,43.0
44.0,130.5,14.5,117.5,9.0,0.0,1.5,25.0,44.0
