day,acu_infected,active,infected,cured,dead,hospitalized,diagnosed,day
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0
11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
15.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0
16.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,16.0
17.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0
18.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0
19.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0
20.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,20.0
21.0,7.0,0.0,6.5,0.0,0.0,0.0,0.0,21.0
22.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,22.0
23.0,8.0,1.0,8.0,0.0,0.0,0.0,1.0,23.0
24.0,9.0,1.0,9.0,0.0,0.0,0.0,1.0,24.0
25.0,11.0,1.0,10.0,0.0,0.0,0.0,2.0,25.0
26.0,12.0,1.0,12.0,0.0,0.0,0.0,2.0,26.0
27.0,15.0,2.0,14.0,1.0,0.0,0.0,2.0,27.0
28.0,16.0,2.0,15.5,1.0,0.0,0.0,3.0,28.0
29.0,19.0,2.0,18.0,1.0,0.0,0.0,3.0,29.0
30.0,19.5,2.0,18.5,1.0,0.0,0.0,3.0,30.0
31.0,25.0,3.0,24.0,1.0,0.0,0.0,4.0,31.0
32.0,25.5,3.0,25.0,1.0,0.0,0.0,4.0,32.0
33.0,29.0,3.0,28.0,1.0,0.0,0.0,5.0,33.0
34.0,33.5,4.0,32.0,2.0,0.0,0.0,5.0,34.0
35.0,36.0,5.0,34.0,2.0,0.0,0.0,7.0,35.0
36.0,41.0,5.0,39.0,2.0,0.0,0.0,8.0,36.0
37.0,47.5,6.0,45.5,3.0,0.0,1.0,8.5,37.0
38.0,55.5,7.0,52.5,3.5,0.0,1.0,10.0,38.0
39.0,61.5,8.0,57.0,4.0,0.0,1.0,11.0,39.0
40.0,72.5,8.5,68.0,4.5,0.0,1.0,13.5,40.0
41.0,80.0,9.0,74.0,5.0,0.0,1.0,15.0,41.0
42.0,89.5,10.0,83.5,6.0,0.0,1.0,17.5,42.0
43.0,105.0,12.0,97.0,7.0,0.0,1.0,19.0,43.0
44.0,118.0,13.0,109.0,8.0,0.0,1.0,22.0,44.0
