day,acu_infected,active,infected,cured,dead,hospitalized,diagnosed,day
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0
11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
15.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0
16.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,16.0
17.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0
18.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,18.0
19.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0
20.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,20.0
21.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,21.0
22.0,8.0,1.0,8.0,0.0,0.0,0.0,1.0,22.0
23.0,8.5,1.0,8.5,0.0,0.0,0.0,1.0,23.0
24.0,9.0,1.0,8.0,0.0,0.0,0.0,1.0,24.0
25.0,10.5,1.0,10.0,0.0,0.0,0.0,1.0,25.0
26.0,12.0,1.0,12.0,0.0,0.0,0.0,1.0,26.0
27.0,15.0,1.0,14.0,0.0,0.0,0.0,2.0,27.0
28.0,15.0,1.0,15.0,0.0,0.0,0.0,2.0,28.0
29.0,17.0,2.0,16.5,0.0,0.0,0.0,2.0,29.0
30.0,21.0,2.0,21.0,1.0,0.0,0.0,3.0,30.0
31.0,22.0,2.0,21.0,1.0,0.0,0.0,3.0,31.0
32.0,26.0,3.0,25.0,1.0,0.0,0.0,4.0,32.0
33.0,30.0,3.0,29.0,1.0,0.0,0.0,4.0,33.0
34.0,35.5,4.0,33.0,1.0,0.0,0.0,5.0,34.0
35.0,39.0,4.0,37.0,2.0,0.0,0.0,6.0,35.0
36.0,46.0,5.0,43.0,2.0,0.0,0.0,7.0,36.0
37.0,50.0,6.0,49.0,3.0,0.0,0.0,8.0,37.0
38.0,58.0,6.0,54.0,3.0,0.0,1.0,9.0,38.0
39.0,64.0,7.0,58.0,4.0,0.0,1.0,11.0,39.0
40.0,74.5,8.0,70.5,5.0,0.0,1.0,13.0,40.0
41.0,86.0,9.0,81.0,5.0,0.0,1.0,15.0,41.0
42.0,100.0,11.0,94.0,6.0,0.0,1.0,18.0,42.0
43.0,112.5,13.0,105.5,7.0,0.0,2.0,20.5,43.0
44.0,126.5,14.0,118.5,8.0,0.0,2.0,22.5,44.0
