day,acu_infected,active,infected,cured,dead,hospitalized,diagnosed,day
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
15.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0
16.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0
17.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0
18.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0
19.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0
20.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,20.0
21.0,7.0,0.0,7.0,0.0,0.0,0.0,0.5,21.0
22.0,9.0,1.0,9.0,0.0,0.0,0.0,1.0,22.0
23.0,9.0,1.0,8.5,0.0,0.0,0.0,1.0,23.0
24.0,9.5,1.0,9.5,0.0,0.0,0.0,1.0,24.0
25.0,11.0,1.0,11.0,0.0,0.0,0.0,1.0,25.0
26.0,12.0,1.0,12.0,0.0,0.0,0.0,2.0,26.0
27.0,14.0,1.0,13.0,0.0,0.0,0.0,2.0,27.0
28.0,17.5,2.0,17.0,0.0,0.0,0.0,2.5,28.0
29.0,19.0,2.0,17.0,0.0,0.0,0.0,3.0,29.0
30.0,22.0,2.0,20.0,1.0,0.0,0.0,3.0,30.0
31.0,24.5,3.0,22.5,1.0,0.0,0.0,3.5,31.0
32.0,26.0,2.5,24.5,1.0,0.0,0.0,4.0,32.0
33.0,30.5,3.0,29.0,2.0,0.0,0.0,4.5,33.0
34.0,32.0,4.0,32.0,2.0,0.0,0.0,5.0,34.0
35.0,38.0,4.0,35.0,2.0,0.0,0.0,6.0,35.0
36.0,42.0,5.0,39.5,2.0,0.0,0.0,7.0,36.0
37.0,51.0,5.0,49.0,3.0,0.0,0.0,9.0,37.0
38.0,56.0,5.0,53.0,3.0,0.0,0.0,10.0,38.0
39.0,65.0,7.0,60.5,4.0,0.0,1.0,11.0,39.0
40.0,75.0,7.0,70.0,5.0,0.0,1.0,13.0,40.0
41.0,84.5,8.0,77.0,5.0,0.0,1.0,14.0,41.0
42.0,93.5,10.0,87.5,6.0,0.0,1.0,16.0,42.0
43.0,103.0,11.0,97.0,7.0,0.0,1.0,19.0,43.0
44.0,126.0,13.0,117.0,9.0,0.0,1.0,22.0,44.0
