day,acu_infected,active,infected,cured,dead,hospitalized,diagnosed,day
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,10.0
11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
15.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0
16.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0
17.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0
18.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0
19.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0
20.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,20.0
21.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,21.0
22.0,7.5,1.0,7.5,0.0,0.0,0.0,1.0,22.0
23.0,8.0,1.0,8.0,0.0,0.0,0.0,1.0,23.0
24.0,9.0,1.0,9.0,0.0,0.0,0.0,1.0,24.0
25.0,11.0,1.0,11.0,0.0,0.0,0.0,1.0,25.0
26.0,14.0,1.0,13.0,0.0,0.0,0.0,2.0,26.0
27.0,16.0,2.0,15.0,0.0,0.0,0.0,2.0,27.0
28.0,17.0,2.0,16.0,0.0,0.0,0.0,2.0,28.0
29.0,17.0,2.0,17.0,1.0,0.0,0.0,3.0,29.0
30.0,20.0,2.0,19.0,1.0,0.0,0.0,3.0,30.0
31.0,23.0,3.0,22.0,1.0,0.0,0.0,4.0,31.0
32.0,26.0,3.0,24.0,1.0,0.0,0.0,4.0,32.0
33.0,29.0,3.0,27.0,2.0,0.0,0.0,4.0,33.0
34.0,33.5,4.0,31.5,2.0,0.0,0.0,5.0,34.0
35.0,41.5,5.0,39.0,2.0,0.0,0.0,6.5,35.0
36.0,45.0,5.0,43.0,3.0,0.0,0.0,7.0,36.0
37.0,50.5,6.0,47.5,3.0,0.0,1.0,9.0,37.0
38.0,58.0,7.0,54.0,3.0,0.0,0.5,10.0,38.0
39.0,66.0,8.0,63.0,4.0,0.0,1.0,11.0,39.0
40.0,78.0,8.0,73.0,5.0,0.0,1.0,13.0,40.0
41.0,86.0,9.0,80.0,5.0,0.0,1.0,15.0,41.0
42.0,94.0,10.0,90.0,6.0,0.0,1.0,18.0,42.0
43.0,107.0,13.0,100.0,7.0,0.0,1.0,20.0,43.0
44.0,124.0,13.5,116.5,7.5,0.0,1.0,23.5,44.0
