day,acu_infected,active,infected,cured,dead,hospitalized,diagnosed,day
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0
11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0
13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0
14.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
15.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0
16.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0
17.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0
18.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0
19.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0
20.0,6.0,0.0,6.0,0.0,0.0,0.0,0.5,20.0
21.0,8.0,1.0,8.0,0.0,0.0,0.0,1.0,21.0
22.0,8.0,1.0,8.0,0.0,0.0,0.0,1.0,22.0
23.0,9.0,1.0,9.0,0.0,0.0,0.0,1.0,23.0
24.0,11.0,1.0,11.0,0.0,0.0,0.0,2.0,24.0
25.0,11.0,1.0,11.0,0.0,0.0,0.0,1.0,25.0
26.0,14.0,2.0,14.0,0.0,0.0,0.0,2.0,26.0
27.0,17.0,2.0,16.5,0.0,0.0,0.0,2.0,27.0
28.0,18.0,2.0,18.0,0.0,0.0,0.0,2.0,28.0
29.0,21.0,2.0,20.0,1.0,0.0,0.0,3.0,29.0
30.0,24.0,3.0,23.0,1.0,0.0,0.0,3.0,30.0
31.0,26.0,3.0,25.0,1.0,0.0,0.0,4.0,31.0
32.0,31.5,3.0,28.5,1.0,0.0,0.0,4.5,32.0
33.0,36.0,3.0,34.0,2.0,0.0,0.0,5.5,33.0
34.0,40.0,4.0,38.0,2.0,0.0,0.0,6.0,34.0
35.0,47.0,4.5,44.5,2.0,0.0,0.0,7.5,35.0
36.0,56.0,6.0,52.0,3.0,0.0,0.0,8.0,36.0
37.0,62.0,7.0,59.0,3.0,0.0,0.0,11.0,37.0
38.0,70.0,8.0,66.0,4.0,0.0,0.0,12.0,38.0
39.0,82.0,9.0,77.5,5.0,0.0,1.0,12.5,39.0
40.0,95.5,9.5,90.0,5.5,0.0,1.0,15.0,40.0
41.0,108.0,11.0,102.0,6.0,0.0,1.0,18.0,41.0
42.0,124.5,13.0,115.5,7.0,0.0,1.0,20.0,42.0
43.0,139.0,14.0,130.0,8.0,0.0,1.0,23.0,43.0
44.0,157.5,16.0,148.0,9.0,0.0,2.0,26.0,44.0
